exit_time,exit_ns,pnl_pips,cum_pnl,drawdown,pair,year
2022-08-03 11:00:00+00:00,1659524400000000,-1.5,200639.5,236.3,AUD_NZD,2022
2022-08-03 11:00:00+00:00,1659524400000000,-5.6,200633.9,241.9,NZD_CAD,2022
2022-08-03 12:00:00+00:00,1659528000000000,-1.3,200632.6,243.2,GBP_USD,2022
2022-08-03 13:15:00+00:00,1659532500000000,8.0,200640.6,235.2,USD_CAD,2022
2022-08-03 14:00:00+00:00,1659535200000000,-15.5,200625.1,250.7,USD_CAD,2022
2022-08-03 16:00:00+00:00,1659542400000000,36.2,200661.3,214.5,CAD_JPY,2022
2022-08-03 16:00:00+00:00,1659542400000000,-3.2,200658.1,217.7,NZD_CAD,2022
2022-08-03 16:00:00+00:00,1659542400000000,2.7,200660.8,215.0,NZD_USD,2022
2022-08-03 16:00:00+00:00,1659542400000000,1.0,200661.8,214.0,AUD_USD,2022
2022-08-03 16:10:00+00:00,1659543000000000,-15.6,200646.2,229.6,CHF_JPY,2022
2022-08-03 16:15:00+00:00,1659543300000000,43.9,200690.1,185.7,AUD_JPY,2022
2022-08-03 16:15:00+00:00,1659543300000000,-7.5,200682.6,193.2,AUD_CAD,2022
2022-08-03 17:30:00+00:00,1659547800000000,-5.0,200677.6,198.2,EUR_GBP,2022
2022-08-03 18:20:00+00:00,1659550800000000,8.2,200685.8,190.0,AUD_NZD,2022
2022-08-03 18:25:00+00:00,1659551100000000,47.1,200732.9,142.9,EUR_AUD,2022
2022-08-03 18:25:00+00:00,1659551100000000,59.7,200792.6,83.2,GBP_AUD,2022
2022-08-03 18:25:00+00:00,1659551100000000,53.9,200846.5,29.3,USD_JPY,2022
2022-08-03 18:30:00+00:00,1659551400000000,-3.4,200843.1,32.7,AUD_CAD,2022
2022-08-03 19:00:00+00:00,1659553200000000,24.5,200867.6,8.2,EUR_USD,2022
2022-08-03 19:30:00+00:00,1659555000000000,31.1,200898.7,0.0,USD_CHF,2022
2022-08-03 19:45:00+00:00,1659555900000000,15.1,200913.8,0.0,CAD_JPY,2022
2022-08-03 20:15:00+00:00,1659557700000000,7.6,200921.4,0.0,EUR_JPY,2022
2022-08-03 20:20:00+00:00,1659558000000000,6.7,200928.1,0.0,NZD_CAD,2022
2022-08-03 20:25:00+00:00,1659558300000000,15.8,200943.9,0.0,USD_CAD,2022
2022-08-03 21:00:00+00:00,1659560400000000,2.7,200946.6,0.0,CHF_JPY,2022
2022-08-03 21:35:00+00:00,1659562500000000,8.6,200955.2,0.0,AUD_USD,2022
2022-08-03 21:40:00+00:00,1659562800000000,2.5,200957.7,0.0,NZD_USD,2022
2022-08-03 23:15:00+00:00,1659568500000000,-5.5,200952.2,5.5,AUD_CAD,2022
2022-08-04 00:10:00+00:00,1659571800000000,-4.1,200948.1,9.6,AUD_USD,2022
2022-08-04 00:35:00+00:00,1659573300000000,0.2,200948.3,9.4,USD_CHF,2022
2022-08-04 01:05:00+00:00,1659575100000000,26.3,200974.6,0.0,GBP_USD,2022
2022-08-04 01:45:00+00:00,1659577500000000,-29.1,200945.5,29.1,AUD_JPY,2022
2022-08-04 01:50:00+00:00,1659577800000000,-25.9,200919.6,55.0,EUR_JPY,2022
2022-08-04 02:00:00+00:00,1659578400000000,-5.9,200913.7,60.9,EUR_GBP,2022
2022-08-04 02:00:00+00:00,1659578400000000,-9.5,200904.2,70.4,CHF_JPY,2022
2022-08-04 02:55:00+00:00,1659581700000000,-1.5,200902.7,71.9,USD_CAD,2022
2022-08-04 03:30:00+00:00,1659583800000000,-2.1,200900.6,74.0,USD_CAD,2022
2022-08-04 03:30:00+00:00,1659583800000000,-3.9,200896.7,77.9,CAD_JPY,2022
2022-08-04 03:30:00+00:00,1659583800000000,-7.5,200889.2,85.4,GBP_JPY,2022
2022-08-04 04:00:00+00:00,1659585600000000,-2.0,200887.2,87.4,EUR_USD,2022
2022-08-04 04:00:00+00:00,1659585600000000,-9.5,200877.7,96.9,USD_JPY,2022
2022-08-04 04:20:00+00:00,1659586800000000,-5.4,200872.3,102.3,CHF_JPY,2022
2022-08-04 05:50:00+00:00,1659592200000000,-1.1,200871.2,103.4,EUR_GBP,2022
2022-08-04 05:50:00+00:00,1659592200000000,-7.7,200863.5,111.1,EUR_USD,2022
2022-08-04 06:00:00+00:00,1659592800000000,-9.0,200854.5,120.1,GBP_USD,2022
2022-08-04 06:40:00+00:00,1659595200000000,9.5,200864.0,110.6,AUD_NZD,2022
2022-08-04 06:40:00+00:00,1659595200000000,14.8,200878.8,95.8,NZD_USD,2022
2022-08-04 06:55:00+00:00,1659596100000000,-7.8,200871.0,103.6,USD_CAD,2022
2022-08-04 07:00:00+00:00,1659596400000000,-6.8,200864.2,110.4,GBP_USD,2022
2022-08-04 08:00:00+00:00,1659600000000000,1.6,200865.8,108.8,GBP_USD,2022
2022-08-04 08:15:00+00:00,1659600900000000,0.7,200866.5,108.1,USD_CAD,2022
2022-08-04 08:35:00+00:00,1659602100000000,20.4,200886.9,87.7,EUR_AUD,2022
2022-08-04 08:40:00+00:00,1659602400000000,-10.0,200876.9,97.7,AUD_NZD,2022
2022-08-04 09:40:00+00:00,1659606000000000,-14.9,200862.0,112.6,USD_CAD,2022
2022-08-04 09:55:00+00:00,1659606900000000,-15.4,200846.6,128.0,USD_CHF,2022
2022-08-04 10:45:00+00:00,1659609900000000,-16.5,200830.1,144.5,EUR_GBP,2022
2022-08-04 11:00:00+00:00,1659610800000000,64.5,200894.6,80.0,AUD_JPY,2022
2022-08-04 11:00:00+00:00,1659610800000000,8.4,200903.0,71.6,EUR_USD,2022
2022-08-04 11:00:00+00:00,1659610800000000,-60.2,200842.8,131.8,GBP_USD,2022
2022-08-04 11:05:00+00:00,1659611100000000,57.0,200899.8,74.8,EUR_JPY,2022
2022-08-04 11:05:00+00:00,1659611100000000,14.0,200913.8,60.8,NZD_USD,2022
2022-08-04 11:20:00+00:00,1659612000000000,40.2,200954.0,20.6,CAD_JPY,2022
2022-08-04 11:30:00+00:00,1659612600000000,20.7,200974.7,0.0,AUD_USD,2022
2022-08-04 11:40:00+00:00,1659613200000000,-10.6,200964.1,10.6,AUD_NZD,2022
2022-08-04 11:50:00+00:00,1659613800000000,-7.0,200957.1,17.6,EUR_AUD,2022
2022-08-04 12:00:00+00:00,1659614400000000,-95.1,200862.0,112.7,GBP_JPY,2022
2022-08-04 12:00:00+00:00,1659614400000000,-14.7,200847.3,127.4,AUD_CAD,2022
